ticker,Date,Stock Splits,Split Ratio
ALGS,2024-08-19 04:00:00+00:00,0.04,1:25
RDHL,2024-08-20 04:00:00+00:00,0.04,1:25
CVKD,2024-08-20 04:00:00+00:00,0.0666666666666666,1:15
NDRA,2024-08-20 04:00:00+00:00,0.02,1:50
SPCB,2024-08-22 04:00:00+00:00,0.05,1:20
AIXI,2024-08-23 04:00:00+00:00,0.1111111111111111,1:9
OBLG,2024-08-26 04:00:00+00:00,0.025,1:40
XCUR,2024-08-28 04:00:00+00:00,0.2,1:5
GDEV,2024-08-29 04:00:00+00:00,0.1,1:10
GLTO,2024-08-30 04:00:00+00:00,0.04,1:25
GLMD,2024-08-30 04:00:00+00:00,0.0833333333333333,1:12
ATPC,2024-08-30 04:00:00+00:00,0.05,1:20
ORKA,2024-09-03 04:00:00+00:00,0.0833333333333333,1:12
BIRD,2024-09-05 04:00:00+00:00,0.05,1:20
DPRO,2024-09-05 04:00:00+00:00,0.04,1:25
TNON,2024-09-06 04:00:00+00:00,0.125,1:8
PRFX,2024-09-09 04:00:00+00:00,0.1666666666666666,1:6
SIRI,2024-09-10 04:00:00+00:00,0.1,1:10
ALLR,2024-09-11 04:00:00+00:00,0.0333333333333333,1:30
ISPC,2024-09-16 04:00:00+00:00,0.05,1:20
KSCP,2024-09-16 04:00:00+00:00,0.02,1:50
PPBT,2024-09-17 04:00:00+00:00,0.05,1:20
GDHG,2024-09-19 04:00:00+00:00,0.02,1:50
BNZI,2024-09-19 04:00:00+00:00,0.02,1:50
WHLR,2024-09-20 04:00:00+00:00,0.3333333333333333,1:3
TRAW,2024-09-23 04:00:00+00:00,0.04,1:25
BBGI,2024-09-24 04:00:00+00:00,0.05,1:20
ONCO,2024-09-24 04:00:00+00:00,0.025,1:40
FRGT,2024-09-25 04:00:00+00:00,0.04,1:25
CMCT,2024-09-25 04:00:00+00:00,1.02,1.02:1
ARQQ,2024-09-25 04:00:00+00:00,0.04,1:25
NLSP,2024-09-27 04:00:00+00:00,0.025,1:40
RYAAY,2024-09-30 04:00:00+00:00,2.499,2.499:1
SONN,2024-09-30 04:00:00+00:00,0.125,1:8
CNET,2024-09-30 04:00:00+00:00,0.25,1:4
LXEH,2024-09-30 04:00:00+00:00,0.1,1:10
SMCI,2024-10-01 04:00:00+00:00,10.0,10:1
SOBR,2024-10-02 04:00:00+00:00,0.009090909090909,1:110
ILLR,2024-10-02 04:00:00+00:00,1.936,1.936:1
ADTX,2024-10-02 04:00:00+00:00,0.025,1:40
AREB,2024-10-02 04:00:00+00:00,0.1111111111111111,1:9
LRCX,2024-10-03 04:00:00+00:00,10.0,10:1
UPXI,2024-10-03 04:00:00+00:00,0.05,1:20
SIFY,2024-10-04 04:00:00+00:00,0.1666666666666666,1:6
BDRX,2024-10-04 04:00:00+00:00,0.04,1:25
OKUR,2024-10-07 04:00:00+00:00,0.1,1:10
AZ,2024-10-08 04:00:00+00:00,0.4,1:2.5
RYM,2024-10-08 04:00:00+00:00,0.0666666666666666,1:15
MAXN,2024-10-09 04:00:00+00:00,0.01,1:100
DWTX,2024-10-09 04:00:00+00:00,0.04,1:25
TONX,2024-10-09 04:00:00+00:00,0.005,1:200
INHD,2024-10-10 04:00:00+00:00,0.1,1:10
WLDS,2024-10-10 04:00:00+00:00,0.05,1:20
DLPN,2024-10-16 04:00:00+00:00,0.5,1:2
STSS,2024-10-16 04:00:00+00:00,0.0454545454545454,1:22
ILLR,2024-10-16 04:00:00+00:00,0.25,1:4
MGRX,2024-10-16 04:00:00+00:00,0.0666666666666666,1:15
SUNE,2024-10-17 04:00:00+00:00,0.02,1:50
SDOT,2024-10-18 04:00:00+00:00,0.1,1:10
HURA,2024-10-18 04:00:00+00:00,0.0285714285714285,1:35
NUKK,2024-10-24 04:00:00+00:00,0.125,1:8
CTNT,2024-10-24 04:00:00+00:00,0.0625,1:16
KZIA,2024-10-28 04:00:00+00:00,0.1,1:10
SVRE,2024-10-28 04:00:00+00:00,0.0555555555555555,1:18
ALBT,2024-10-28 04:00:00+00:00,0.0666666666666666,1:15
MOVE,2024-10-29 04:00:00+00:00,0.0666666666666666,1:15
KZR,2024-10-30 04:00:00+00:00,0.1,1:10
FGNX,2024-11-01 04:00:00+00:00,0.04,1:25
__NA__,2024-11-04 05:00:00+00:00,0.1,1:10
QLGN,2024-11-05 05:00:00+00:00,0.02,1:50
AQMS,2024-11-05 05:00:00+00:00,0.05,1:20
VCIG,2024-11-05 05:00:00+00:00,0.0204081632653061,1:49
NDRA,2024-11-07 05:00:00+00:00,0.0285714285714285,1:35
XHG,2024-11-08 05:00:00+00:00,0.05,1:20
TRNR,2024-11-11 05:00:00+00:00,0.01,1:100
EMPD,2024-11-11 05:00:00+00:00,0.125,1:8
JTAI,2024-11-12 05:00:00+00:00,0.0044444444444444,1:225
LBTYK,2024-11-13 05:00:00+00:00,1.91,1.91:1
LBTYA,2024-11-13 05:00:00+00:00,1.941,1.941:1
INM,2024-11-14 05:00:00+00:00,0.05,1:20
AKAN,2024-11-14 05:00:00+00:00,0.5,1:2
TKLF,2024-11-15 05:00:00+00:00,0.1,1:10
BJDX,2024-11-18 05:00:00+00:00,0.02,1:50
WHLR,2024-11-19 05:00:00+00:00,0.5,1:2
LAZR,2024-11-21 05:00:00+00:00,0.0666666666666666,1:15
DFLI,2024-11-22 05:00:00+00:00,0.1111111111111111,1:9
PBM,2024-11-26 05:00:00+00:00,0.0133333333333333,1:75
CTXR,2024-11-26 05:00:00+00:00,0.04,1:25
ELAB,2024-11-27 05:00:00+00:00,0.005,1:200
FTCI,2024-12-02 05:00:00+00:00,0.1,1:10
METC,2024-12-02 05:00:00+00:00,1.01,1.01:1
METCB,2024-12-02 05:00:00+00:00,1.023,1.023:1
